,data,Regione,Totale Vaccinazioni
0,2020-12-27,Abruzzo,47
20,2020-12-27,Veneto,869
19,2020-12-27,Valle d'Aosta,20
18,2020-12-27,Umbria,93
17,2020-12-27,Toscana,629
16,2020-12-27,Sicilia,149
15,2020-12-27,Sardegna,68
14,2020-12-27,Puglia,510
13,2020-12-27,Piemonte,928
11,2020-12-27,P.A. Bolzano,147
12,2020-12-27,P.A. Trento,108
9,2020-12-27,Marche,55
8,2020-12-27,Lombardia,719
7,2020-12-27,Liguria,135
6,2020-12-27,Lazio,278
5,2020-12-27,Friuli Venezia Giulia,266
4,2020-12-27,Emilia-Romagna,973
3,2020-12-27,Campania,721
2,2020-12-27,Calabria,319
1,2020-12-27,Basilicata,107
10,2020-12-27,Molise,50
114,2021-01-03,P.A. Trento,510
115,2021-01-03,Piemonte,3111
116,2021-01-03,Puglia,2012
113,2021-01-03,P.A. Bolzano,43
119,2021-01-03,Toscana,3365
120,2021-01-03,Umbria,293
121,2021-01-03,Veneto,5134
117,2021-01-03,Sardegna,90
112,2021-01-03,Molise,1
118,2021-01-03,Sicilia,5154
110,2021-01-03,Lombardia,858
102,2021-01-03,Abruzzo,413
103,2021-01-03,Basilicata,917
104,2021-01-03,Calabria,6
105,2021-01-03,Campania,3835
111,2021-01-03,Marche,916
107,2021-01-03,Friuli Venezia Giulia,323
108,2021-01-03,Lazio,5386
109,2021-01-03,Liguria,743
106,2021-01-03,Emilia-Romagna,2766
260,2021-01-10,P.A. Trento,87
268,2021-01-10,Veneto,5033
267,2021-01-10,Valle d'Aosta / Vall├®e d'Aoste,223
266,2021-01-10,Umbria,1098
265,2021-01-10,Toscana,3040
264,2021-01-10,Sicilia,3792
263,2021-01-10,Sardegna,2227
262,2021-01-10,Puglia,2353
261,2021-01-10,Piemonte,5377
259,2021-01-10,P.A. Bolzano,2
258,2021-01-10,Molise,272
257,2021-01-10,Marche,1749
249,2021-01-10,Basilicata,77
250,2021-01-10,Calabria,964
251,2021-01-10,Campania,8169
252,2021-01-10,Emilia-Romagna,7187
248,2021-01-10,Abruzzo,949
254,2021-01-10,Lazio,4168
255,2021-01-10,Liguria,657
256,2021-01-10,Lombardia,10557
253,2021-01-10,Friuli Venezia Giulia,2978
415,2021-01-17,Veneto,1588
414,2021-01-17,Valle d'Aosta / Vall├®e d'Aoste,131
413,2021-01-17,Umbria,56
412,2021-01-17,Toscana,2030
411,2021-01-17,Sicilia,1380
410,2021-01-17,Sardegna,869
409,2021-01-17,Puglia,1245
408,2021-01-17,Piemonte,2914
407,2021-01-17,P.A. Trento,259
406,2021-01-17,P.A. Bolzano,2338
405,2021-01-17,Molise,48
403,2021-01-17,Lombardia,8165
395,2021-01-17,Abruzzo,186
396,2021-01-17,Basilicata,332
397,2021-01-17,Calabria,820
398,2021-01-17,Campania,702
404,2021-01-17,Marche,1563
400,2021-01-17,Friuli Venezia Giulia,1736
401,2021-01-17,Lazio,4786
402,2021-01-17,Liguria,869
399,2021-01-17,Emilia-Romagna,2654
558,2021-01-24,Veneto,174
556,2021-01-24,Toscana,199
555,2021-01-24,Sicilia,123
554,2021-01-24,Sardegna,5
553,2021-01-24,Puglia,152
552,2021-01-24,Piemonte,438
551,2021-01-24,P.A. Trento,227
550,2021-01-24,P.A. Bolzano,0
549,2021-01-24,Marche,4
557,2021-01-24,Umbria,1
547,2021-01-24,Liguria,157
546,2021-01-24,Lazio,629
545,2021-01-24,Friuli Venezia Giulia,3
544,2021-01-24,Emilia-Romagna,300
543,2021-01-24,Campania,379
542,2021-01-24,Calabria,41
541,2021-01-24,Basilicata,59
548,2021-01-24,Lombardia,538
540,2021-01-24,Abruzzo,6
697,2021-01-31,Piemonte,116
698,2021-01-31,Puglia,76
699,2021-01-31,Sardegna,45
696,2021-01-31,P.A. Trento,1
701,2021-01-31,Toscana,104
702,2021-01-31,Umbria,25
703,2021-01-31,Valle d'Aosta / Vall├®e d'Aoste,58
700,2021-01-31,Sicilia,109
704,2021-01-31,Veneto,589
695,2021-01-31,Molise,6
693,2021-01-31,Lombardia,30
685,2021-01-31,Abruzzo,285
686,2021-01-31,Basilicata,0
687,2021-01-31,Calabria,150
688,2021-01-31,Campania,19
694,2021-01-31,Marche,96
690,2021-01-31,Friuli Venezia Giulia,396
691,2021-01-31,Lazio,488
692,2021-01-31,Liguria,47
689,2021-01-31,Emilia-Romagna,240
841,2021-02-07,Molise,20
849,2021-02-07,Valle d'Aosta / Vall├®e d'Aoste,190
848,2021-02-07,Umbria,1
847,2021-02-07,Toscana,890
846,2021-02-07,Sicilia,673
845,2021-02-07,Sardegna,229
844,2021-02-07,Puglia,253
843,2021-02-07,Piemonte,462
842,2021-02-07,P.A. Bolzano,344
850,2021-02-07,Veneto,757
840,2021-02-07,Marche,343
838,2021-02-07,Liguria,3
839,2021-02-07,Lombardia,349
831,2021-02-07,Abruzzo,200
832,2021-02-07,Basilicata,49
833,2021-02-07,Calabria,145
835,2021-02-07,Emilia-Romagna,1729
836,2021-02-07,Friuli Venezia Giulia,399
837,2021-02-07,Lazio,413
834,2021-02-07,Campania,2159
987,2021-02-14,P.A. Trento,11
995,2021-02-14,Veneto,115
994,2021-02-14,Valle d'Aosta / Vall├®e d'Aoste,1
993,2021-02-14,Umbria,0
992,2021-02-14,Toscana,8955
991,2021-02-14,Sicilia,915
990,2021-02-14,Sardegna,540
989,2021-02-14,Puglia,664
988,2021-02-14,Piemonte,887
986,2021-02-14,P.A. Bolzano,298
985,2021-02-14,Marche,738
984,2021-02-14,Lombardia,2949
983,2021-02-14,Liguria,234
982,2021-02-14,Lazio,5332
981,2021-02-14,Friuli Venezia Giulia,0
980,2021-02-14,Emilia-Romagna,1288
979,2021-02-14,Campania,3896
978,2021-02-14,Calabria,455
977,2021-02-14,Basilicata,152
976,2021-02-14,Abruzzo,1
1132,2021-02-21,Molise,577
1140,2021-02-21,Valle d'Aosta / Vall├®e d'Aoste,0
1139,2021-02-21,Umbria,1
1138,2021-02-21,Toscana,5000
1137,2021-02-21,Sicilia,5063
1136,2021-02-21,Sardegna,1555
1135,2021-02-21,Puglia,2115
1134,2021-02-21,Piemonte,5047
1133,2021-02-21,P.A. Trento,46
1141,2021-02-21,Veneto,4635
1131,2021-02-21,Marche,375
1129,2021-02-21,Liguria,867
1128,2021-02-21,Lazio,6535
1127,2021-02-21,Friuli Venezia Giulia,427
1126,2021-02-21,Emilia-Romagna,4012
1125,2021-02-21,Campania,5611
1124,2021-02-21,Calabria,609
1123,2021-02-21,Basilicata,285
1122,2021-02-21,Abruzzo,1217
1130,2021-02-21,Lombardia,5039
1286,2021-02-28,Veneto,3325
1285,2021-02-28,Valle d'Aosta / Vall├®e d'Aoste,77
1284,2021-02-28,Toscana,948
1283,2021-02-28,Sicilia,6505
1282,2021-02-28,Sardegna,142
1281,2021-02-28,Puglia,5899
1280,2021-02-28,Piemonte,10575
1279,2021-02-28,P.A. Trento,250
1278,2021-02-28,Molise,801
1277,2021-02-28,Marche,2831
1275,2021-02-28,Liguria,1050
1268,2021-02-28,Abruzzo,1701
1269,2021-02-28,Basilicata,778
1270,2021-02-28,Calabria,2258
1276,2021-02-28,Lombardia,7675
1272,2021-02-28,Emilia-Romagna,4982
1273,2021-02-28,Friuli Venezia Giulia,2310
1274,2021-02-28,Lazio,9765
1271,2021-02-28,Campania,8520
1433,2021-03-07,Veneto,3964
1432,2021-03-07,Valle d'Aosta / Vall├®e d'Aoste,11
1431,2021-03-07,Umbria,846
1430,2021-03-07,Toscana,2112
1429,2021-03-07,Sicilia,8200
1428,2021-03-07,Sardegna,1115
1427,2021-03-07,Puglia,4419
1425,2021-03-07,P.A. Trento,24
1424,2021-03-07,P.A. Bolzano,21
1423,2021-03-07,Molise,1136
1426,2021-03-07,Piemonte,11145
1421,2021-03-07,Lombardia,9539
1422,2021-03-07,Marche,4429
1414,2021-03-07,Basilicata,865
1415,2021-03-07,Calabria,3332
1416,2021-03-07,Campania,8131
1413,2021-03-07,Abruzzo,2522
1418,2021-03-07,Friuli Venezia Giulia,2573
1419,2021-03-07,Lazio,10581
1420,2021-03-07,Liguria,1614
1417,2021-03-07,Emilia-Romagna,6326
1573,2021-03-14,Piemonte,5176
1574,2021-03-14,Puglia,2519
1575,2021-03-14,Sardegna,613
1572,2021-03-14,P.A. Trento,21
1577,2021-03-14,Toscana,3260
1578,2021-03-14,Umbria,67
1579,2021-03-14,Valle d'Aosta / Vall├®e d'Aoste,395
1576,2021-03-14,Sicilia,5125
1571,2021-03-14,P.A. Bolzano,25
1580,2021-03-14,Veneto,14306
1570,2021-03-14,Molise,18
1560,2021-03-14,Abruzzo,1217
1561,2021-03-14,Basilicata,545
1562,2021-03-14,Calabria,2290
1563,2021-03-14,Campania,4478
1569,2021-03-14,Marche,1907
1565,2021-03-14,Friuli Venezia Giulia,1169
1566,2021-03-14,Lazio,12142
1567,2021-03-14,Liguria,1055
1568,2021-03-14,Lombardia,11597
1564,2021-03-14,Emilia-Romagna,5012
1718,2021-03-21,P.A. Bolzano,17
1726,2021-03-21,Valle d'Aosta / Vall├®e d'Aoste,363
1725,2021-03-21,Umbria,680
1724,2021-03-21,Toscana,1866
1723,2021-03-21,Sicilia,11280
1722,2021-03-21,Sardegna,2610
1721,2021-03-21,Puglia,590
1720,2021-03-21,Piemonte,4248
1719,2021-03-21,P.A. Trento,136
1727,2021-03-21,Veneto,8622
1717,2021-03-21,Molise,486
1715,2021-03-21,Lombardia,18326
1714,2021-03-21,Liguria,69
1713,2021-03-21,Lazio,13285
1712,2021-03-21,Friuli Venezia Giulia,2288
1711,2021-03-21,Emilia-Romagna,7359
1710,2021-03-21,Campania,7689
1709,2021-03-21,Calabria,2736
1708,2021-03-21,Basilicata,488
1707,2021-03-21,Abruzzo,843
1716,2021-03-21,Marche,1629
1867,2021-03-28,Piemonte,8276
1868,2021-03-28,Puglia,1217
1869,2021-03-28,Sardegna,4562
1870,2021-03-28,Sicilia,7052
1866,2021-03-28,P.A. Trento,774
1872,2021-03-28,Umbria,1102
1873,2021-03-28,Valle d'Aosta / Vall├®e d'Aoste,524
1874,2021-03-28,Veneto,27750
1871,2021-03-28,Toscana,5962
1864,2021-03-28,Molise,538
1865,2021-03-28,P.A. Bolzano,11
1863,2021-03-28,Marche,2435
1855,2021-03-28,Basilicata,2133
1856,2021-03-28,Calabria,1568
1857,2021-03-28,Campania,13939
1858,2021-03-28,Emilia-Romagna,9722
1854,2021-03-28,Abruzzo,2045
1860,2021-03-28,Lazio,13915
1861,2021-03-28,Liguria,389
1862,2021-03-28,Lombardia,14359
1859,2021-03-28,Friuli Venezia Giulia,4819
2012,2021-04-04,Piemonte,6595
2019,2021-04-04,Veneto,6655
2018,2021-04-04,Valle d'Aosta / Vall├®e d'Aoste,573
2017,2021-04-04,Umbria,22
2016,2021-04-04,Toscana,13677
2015,2021-04-04,Sicilia,5525
2014,2021-04-04,Sardegna,0
2013,2021-04-04,Puglia,6006
2011,2021-04-04,Molise,244
2010,2021-04-04,Marche,2666
2009,2021-04-04,Lombardia,3716
2008,2021-04-04,Liguria,513
2007,2021-04-04,Lazio,12397
2006,2021-04-04,Friuli Venezia Giulia,6
2005,2021-04-04,Emilia-Romagna,7616
2004,2021-04-04,Campania,6920
2003,2021-04-04,Calabria,1156
2002,2021-04-04,Basilicata,193
2001,2021-04-04,Abruzzo,1503
2157,2021-04-11,P.A. Bolzano,2571
2165,2021-04-11,Valle d'Aosta / Vall├®e d'Aoste,481
2164,2021-04-11,Umbria,3080
2163,2021-04-11,Toscana,3484
2162,2021-04-11,Sicilia,8399
2161,2021-04-11,Sardegna,4306
2160,2021-04-11,Puglia,14860
2159,2021-04-11,Piemonte,18760
2158,2021-04-11,P.A. Trento,2324
2156,2021-04-11,Molise,1212
2166,2021-04-11,Veneto,14832
2154,2021-04-11,Lombardia,24853
2146,2021-04-11,Abruzzo,4892
2147,2021-04-11,Basilicata,790
2148,2021-04-11,Calabria,2264
2149,2021-04-11,Campania,15445
2155,2021-04-11,Marche,6830
2151,2021-04-11,Friuli Venezia Giulia,2557
2152,2021-04-11,Lazio,13304
2153,2021-04-11,Liguria,4005
2150,2021-04-11,Emilia-Romagna,12243
2304,2021-04-18,P.A. Bolzano,2111
2312,2021-04-18,Valle d'Aosta / Vall├®e d'Aoste,521
2311,2021-04-18,Umbria,607
2310,2021-04-18,Toscana,7338
2309,2021-04-18,Sicilia,15591
2308,2021-04-18,Sardegna,2270
2307,2021-04-18,Puglia,21669
2306,2021-04-18,Piemonte,20150
2305,2021-04-18,P.A. Trento,1871
2313,2021-04-18,Veneto,10028
2303,2021-04-18,Molise,154
2301,2021-04-18,Lombardia,31212
2300,2021-04-18,Liguria,2151
2299,2021-04-18,Lazio,16180
2298,2021-04-18,Friuli Venezia Giulia,5703
2297,2021-04-18,Emilia-Romagna,12609
2296,2021-04-18,Campania,18323
2295,2021-04-18,Calabria,4979
2294,2021-04-18,Basilicata,2350
2293,2021-04-18,Abruzzo,4878
2302,2021-04-18,Marche,7902
2453,2021-04-25,Piemonte,17713
2454,2021-04-25,Puglia,10197
2455,2021-04-25,Sardegna,3768
2456,2021-04-25,Sicilia,16485
2452,2021-04-25,P.A. Trento,2014
2458,2021-04-25,Umbria,4318
2459,2021-04-25,Valle d'Aosta / Vall├®e d'Aoste,711
2460,2021-04-25,Veneto,13540
2457,2021-04-25,Toscana,8930
2451,2021-04-25,P.A. Bolzano,2418
2450,2021-04-25,Molise,569
2449,2021-04-25,Marche,7023
2441,2021-04-25,Basilicata,2936
2442,2021-04-25,Calabria,14871
2443,2021-04-25,Campania,25338
2444,2021-04-25,Emilia-Romagna,14849
2440,2021-04-25,Abruzzo,8264
2446,2021-04-25,Lazio,16734
2447,2021-04-25,Liguria,1521
2448,2021-04-25,Lombardia,46786
2445,2021-04-25,Friuli Venezia Giulia,2384
2598,2021-05-02,P.A. Bolzano,1541
2606,2021-05-02,Valle d'Aosta / Vall├®e d'Aoste,605
2605,2021-05-02,Umbria,1337
2604,2021-05-02,Toscana,9215
2603,2021-05-02,Sicilia,18079
2602,2021-05-02,Sardegna,5402
2601,2021-05-02,Puglia,14110
2600,2021-05-02,Piemonte,14483
2599,2021-05-02,P.A. Trento,3576
2597,2021-05-02,Molise,610
2607,2021-05-02,Veneto,27010
2595,2021-05-02,Lombardia,61063
2587,2021-05-02,Abruzzo,5233
2588,2021-05-02,Basilicata,3551
2589,2021-05-02,Calabria,10647
2590,2021-05-02,Campania,32115
2596,2021-05-02,Marche,3162
2592,2021-05-02,Friuli Venezia Giulia,3984
2593,2021-05-02,Lazio,23500
2594,2021-05-02,Liguria,519
2591,2021-05-02,Emilia-Romagna,13602
2745,2021-05-09,P.A. Bolzano,3105
2753,2021-05-09,Valle d'Aosta / Vall├®e d'Aoste,444
2752,2021-05-09,Umbria,5409
2751,2021-05-09,Toscana,9677
2750,2021-05-09,Sicilia,20216
2749,2021-05-09,Sardegna,5256
2748,2021-05-09,Puglia,15207
2747,2021-05-09,Piemonte,13640
2746,2021-05-09,P.A. Trento,2033
2744,2021-05-09,Molise,1994
2754,2021-05-09,Veneto,25182
2742,2021-05-09,Lombardia,56459
2734,2021-05-09,Abruzzo,4291
2735,2021-05-09,Basilicata,2996
2736,2021-05-09,Calabria,6073
2737,2021-05-09,Campania,32108
2743,2021-05-09,Marche,3637
2739,2021-05-09,Friuli Venezia Giulia,3538
2740,2021-05-09,Lazio,26294
2741,2021-05-09,Liguria,1116
2738,2021-05-09,Emilia-Romagna,18678
2892,2021-05-16,P.A. Bolzano,1339
2900,2021-05-16,Valle d'Aosta / Vall├®e d'Aoste,348
2899,2021-05-16,Umbria,5207
2898,2021-05-16,Toscana,24221
2897,2021-05-16,Sicilia,22233
2896,2021-05-16,Sardegna,6094
2895,2021-05-16,Puglia,12718
2894,2021-05-16,Piemonte,15257
2893,2021-05-16,P.A. Trento,1124
2901,2021-05-16,Veneto,21400
2891,2021-05-16,Molise,1103
2889,2021-05-16,Lombardia,36506
2888,2021-05-16,Liguria,2134
2887,2021-05-16,Lazio,37540
2886,2021-05-16,Friuli Venezia Giulia,8683
2885,2021-05-16,Emilia-Romagna,18744
2884,2021-05-16,Campania,33576
2883,2021-05-16,Calabria,9976
2882,2021-05-16,Basilicata,2860
2881,2021-05-16,Abruzzo,5771
2890,2021-05-16,Marche,6669
3041,2021-05-23,Piemonte,15746
3042,2021-05-23,Puglia,14181
3043,2021-05-23,Sardegna,7779
3044,2021-05-23,Sicilia,20111
3040,2021-05-23,P.A. Trento,466
3046,2021-05-23,Umbria,657
3047,2021-05-23,Valle d'Aosta / Vall├®e d'Aoste,659
3048,2021-05-23,Veneto,11428
3045,2021-05-23,Toscana,25890
3039,2021-05-23,P.A. Bolzano,4364
3038,2021-05-23,Molise,1796
3037,2021-05-23,Marche,7538
3029,2021-05-23,Basilicata,1534
3030,2021-05-23,Calabria,7034
3031,2021-05-23,Campania,37860
3032,2021-05-23,Emilia-Romagna,13899
3028,2021-05-23,Abruzzo,7185
3034,2021-05-23,Lazio,39824
3035,2021-05-23,Liguria,1186
3036,2021-05-23,Lombardia,26815
3033,2021-05-23,Friuli Venezia Giulia,6199
3186,2021-05-30,P.A. Bolzano,766
3194,2021-05-30,Valle d'Aosta / Vall├®e d'Aoste,694
3193,2021-05-30,Umbria,5809
3192,2021-05-30,Toscana,21767
3191,2021-05-30,Sicilia,17727
3190,2021-05-30,Sardegna,7380
3189,2021-05-30,Puglia,16007
3188,2021-05-30,Piemonte,18320
3187,2021-05-30,P.A. Trento,941
3195,2021-05-30,Veneto,15945
3185,2021-05-30,Molise,1613
3183,2021-05-30,Lombardia,34417
3184,2021-05-30,Marche,6743
3175,2021-05-30,Abruzzo,5400
3176,2021-05-30,Basilicata,925
3178,2021-05-30,Campania,38853
3177,2021-05-30,Calabria,6854
3180,2021-05-30,Friuli Venezia Giulia,7538
3181,2021-05-30,Lazio,33943
3182,2021-05-30,Liguria,1362
3179,2021-05-30,Emilia-Romagna,13392
3333,2021-06-06,P.A. Bolzano,867
3341,2021-06-06,Valle d'Aosta / Vall├®e d'Aoste,787
3340,2021-06-06,Umbria,6937
3339,2021-06-06,Toscana,22969
3338,2021-06-06,Sicilia,41712
3337,2021-06-06,Sardegna,6387
3336,2021-06-06,Puglia,25744
3335,2021-06-06,Piemonte,32654
3334,2021-06-06,P.A. Trento,454
3332,2021-06-06,Molise,1811
3342,2021-06-06,Veneto,32775
3330,2021-06-06,Lombardia,80922
3322,2021-06-06,Abruzzo,8909
3323,2021-06-06,Basilicata,3733
3324,2021-06-06,Calabria,12100
3325,2021-06-06,Campania,62583
3331,2021-06-06,Marche,10875
3327,2021-06-06,Friuli Venezia Giulia,8043
3328,2021-06-06,Lazio,35805
3329,2021-06-06,Liguria,2954
3326,2021-06-06,Emilia-Romagna,32203
3480,2021-06-13,P.A. Bolzano,501
3488,2021-06-13,Valle d'Aosta / Vall├®e d'Aoste,375
3487,2021-06-13,Umbria,6559
3486,2021-06-13,Toscana,22970
3485,2021-06-13,Sicilia,31040
3484,2021-06-13,Sardegna,6245
3483,2021-06-13,Puglia,16714
3482,2021-06-13,Piemonte,34178
3481,2021-06-13,P.A. Trento,310
3489,2021-06-13,Veneto,30482
3479,2021-06-13,Molise,2659
3477,2021-06-13,Lombardia,73878
3476,2021-06-13,Liguria,5196
3475,2021-06-13,Lazio,33618
3474,2021-06-13,Friuli Venezia Giulia,5509
3473,2021-06-13,Emilia-Romagna,24504
3472,2021-06-13,Campania,38699
3471,2021-06-13,Calabria,5786
3470,2021-06-13,Basilicata,2707
3469,2021-06-13,Abruzzo,8013
3478,2021-06-13,Marche,9454
3627,2021-06-20,P.A. Bolzano,652
3635,2021-06-20,Valle d'Aosta / Vall├®e d'Aoste,490
3634,2021-06-20,Umbria,1624
3633,2021-06-20,Toscana,15667
3632,2021-06-20,Sicilia,15375
3631,2021-06-20,Sardegna,3667
3630,2021-06-20,Puglia,14404
3629,2021-06-20,Piemonte,19516
3628,2021-06-20,P.A. Trento,38
3626,2021-06-20,Molise,54
3636,2021-06-20,Veneto,19949
3624,2021-06-20,Lombardia,54022
3616,2021-06-20,Abruzzo,5515
3617,2021-06-20,Basilicata,1974
3618,2021-06-20,Calabria,3843
3619,2021-06-20,Campania,14615
3625,2021-06-20,Marche,6174
3621,2021-06-20,Friuli Venezia Giulia,1640
3622,2021-06-20,Lazio,30398
3623,2021-06-20,Liguria,1062
3620,2021-06-20,Emilia-Romagna,16078
3774,2021-06-27,P.A. Bolzano,624
3782,2021-06-27,Valle d'Aosta / Vall├®e d'Aoste,324
3781,2021-06-27,Umbria,1811
3780,2021-06-27,Toscana,6046
3779,2021-06-27,Sicilia,12329
3778,2021-06-27,Sardegna,2984
3777,2021-06-27,Puglia,10218
3776,2021-06-27,Piemonte,15979
3775,2021-06-27,P.A. Trento,418
3773,2021-06-27,Molise,1154
3783,2021-06-27,Veneto,16208
3771,2021-06-27,Lombardia,72081
3763,2021-06-27,Abruzzo,5156
3764,2021-06-27,Basilicata,2391
3765,2021-06-27,Calabria,5022
3766,2021-06-27,Campania,14494
3772,2021-06-27,Marche,4656
3768,2021-06-27,Friuli Venezia Giulia,3615
3769,2021-06-27,Lazio,21089
3770,2021-06-27,Liguria,697
3767,2021-06-27,Emilia-Romagna,16869
3921,2021-07-04,P.A. Bolzano,189
3929,2021-07-04,Valle d'Aosta / Vall├®e d'Aoste,364
3928,2021-07-04,Umbria,2443
3927,2021-07-04,Toscana,9666
3926,2021-07-04,Sicilia,7788
3925,2021-07-04,Sardegna,2080
3924,2021-07-04,Puglia,8216
3923,2021-07-04,Piemonte,11991
3922,2021-07-04,P.A. Trento,69
3920,2021-07-04,Molise,608
3930,2021-07-04,Veneto,15803
3918,2021-07-04,Lombardia,42153
3910,2021-07-04,Abruzzo,3454
3911,2021-07-04,Basilicata,2191
3912,2021-07-04,Calabria,2024
3913,2021-07-04,Campania,6482
3919,2021-07-04,Marche,3363
3915,2021-07-04,Friuli Venezia Giulia,3056
3916,2021-07-04,Lazio,4317
3917,2021-07-04,Liguria,3890
3914,2021-07-04,Emilia-Romagna,10663
4069,2021-07-11,P.A. Trento,143
4070,2021-07-11,Piemonte,4915
4071,2021-07-11,Puglia,2665
4072,2021-07-11,Sardegna,1459
4068,2021-07-11,P.A. Bolzano,1210
4074,2021-07-11,Toscana,9347
4075,2021-07-11,Umbria,86
4076,2021-07-11,Valle d'Aosta / Vall├®e d'Aoste,267
4073,2021-07-11,Sicilia,3762
4067,2021-07-11,Molise,186
4077,2021-07-11,Veneto,4420
4065,2021-07-11,Lombardia,12828
4057,2021-07-11,Abruzzo,2497
4058,2021-07-11,Basilicata,1532
4059,2021-07-11,Calabria,857
4060,2021-07-11,Campania,1095
4066,2021-07-11,Marche,1742
4062,2021-07-11,Friuli Venezia Giulia,2559
4063,2021-07-11,Lazio,3928
4064,2021-07-11,Liguria,1263
4061,2021-07-11,Emilia-Romagna,2996
4215,2021-07-18,P.A. Bolzano,733
4223,2021-07-18,Valle d'Aosta / Vall├®e d'Aoste,261
4222,2021-07-18,Umbria,303
4221,2021-07-18,Toscana,8551
4220,2021-07-18,Sicilia,8339
4219,2021-07-18,Sardegna,990
4218,2021-07-18,Puglia,6501
4217,2021-07-18,Piemonte,3637
4216,2021-07-18,P.A. Trento,132
4214,2021-07-18,Molise,154
4224,2021-07-18,Veneto,4678
4212,2021-07-18,Lombardia,9239
4204,2021-07-18,Abruzzo,2113
4205,2021-07-18,Basilicata,1603
